Restaurant_Name,Platform,Language,Review_Text,human_food,human_service,human_atmos,human_price,annotation_note
โกปี๊ นิมมาน อาหารเช้า,Google Maps,Thai,พนักงานหน้าตึงมาก นี่ก็เพิ่งเคยมา เขียนรายละเอียดไม่ครบ พนง. มาถามคือตึงเว่อร์ สั่งโบราณเซ็ตไป แล้วในรูปมันเป็นชาไทยเลยคิดว่าเป็นชาไทย ไม่ได้อ่านข้างล่างว่าเลือกได้ แล้วพอ พนง. เดินมาถาม เลยบอกว่าแปปนะคะ ขอดูรูปก่อนว่าเป็นรายการไหน …,N/A,NEG,N/A,N/A,[TRUNCATED]
Newtown Nimman,Google Maps,English,"Very friendly, good coffee. A hipster's paradise. The staff are also very friendly👍 …",POS,POS,POS,N/A,[TRUNCATED]
Real Good Pasta,Google Maps,English,"My opinion on this restaurant, and I would say it's a little unusual. Basically, the food is very good, but the environment isn't really suitable. We don't really feel very welcome, and the atmosphere isn't very pleasant. …",POS,NEG,NEG,N/A,[TRUNCATED]
เดอะ สลัด คอนเซ็ปท์,TripAdvisor,English,Monstrous giant megagiga portion of nice vegetables... it was absolutely fantastic. The choices you have and the dressings are absolutely spot on. You definatelly need to taste it. Wealth is Health!,POS,N/A,N/A,N/A,
สมาย คิชเช่น ร้านอาหารญี่ปุน,Google Maps,Thai,อร่อยมากกก คิดถึงอยากไปกินอีกกก แกงกะหรี่หมูทอด,POS,N/A,N/A,N/A,
Nainoi Malatang นายน้อยหม่าล่าทัง,Google Maps,Thai,รสชาติดี บรรยากาศชิลๆ,POS,N/A,POS,N/A,
Lumi - Italian Restaurant,TripAdvisor,Thai,Summer salad with tuna and tuna tartar so delicious และ ขอบคุณเจ้าของวันเกิดที่แนะนำสถานทีดีๆสวย มุมถ่ายรูปเยอะ พนักงานดูแลดี เครื่องดื่มต้อง one night in chiangmai 👍🏻 and thank for Panda and Ann,POS,POS,POS,N/A,
Groon,Google Maps,English,"Natural yeast toast and Groon Morning coffee are super yummy. Cute minimal cafe, but quite limited seats.",POS,N/A,NEU,N/A,
ข้าวมันไก่ โกยี,Google Maps,Thai,"อร่อย ไช่ได้
 หอม สะอาด …",POS,N/A,POS,N/A,[TRUNCATED]
โค บี คิว,TripAdvisor,English,"I live in Bangkok and Chiang Mai and always looking for a nice Korean restaurant because I love Korean food and just found out this Resturant KOBQ in Nimman road, make me feel like I'm eating the food in Korea!!! Love the kimchigikae and Fried chicken and the BBQ buffet is very cheap compared to the quality of meat.👍",POS,N/A,POS,POS,
Lumi - Italian Restaurant,TripAdvisor,English,Amazing view and cool atmosphere. Come for sunset and enjoy your drinks with the Mountain View! Highly recommend,NUE,N/A,POS,N/A,
เดอะ สลัด คอนเซ็ปท์,TripAdvisor,English,"The salad concept has it all nailed down from an interior designer's / atmosphere standpoint. It is really cool inside. The food is good, but not exceptional (at least not for the price). It's unique from other salad places though so i go sometimes.",NEU,N/A,POS,NEG,
ภัตตาคารเจี่ยท้งเฮง สาขาวัน นิมมาน,Google Maps,Thai,อาหารอร่อยทำจานเล็กลง มากินกันสอง สามคนสบายๆๆ บรรยากาศดี,POS,N/A,POS,N/A,
S&A Beverages Nimman,Google Maps,Thai,บรรยากาศดีมากครับ,N/A,N/A,POS,N/A,[SHORT]
แดน ข้าวมันไก่ บายแมก สาขาศิริมังคลาจารย์,Google Maps,English,Good place,N/A,N/A,POS,N/A,[SHORT]
Kiwami Curry ??,Google Maps,English,Very nice curry and staff very good smile too,POS,POS,N/A,N/A,
Why Not?,TripAdvisor,English,"The perfect place for a relaxed dinner, in the heart of Chiang Mais answer to Soho: Nimman. Fabulous food, good wine and the owner makes a point of stopping by each table to chat. On this visit, with a total of two weeks in Chiang Mai, this Place has become our favourite neighborhood restaurant.",POS,POS,POS,N/A,
เดอะ สลัด คอนเซ็ปท์,TripAdvisor,English,"I went with a couple of friends. This place has a nice vibe and staff were quite friendly too. There are a number of different options for salads, combined with multiple types of toppings etc. Its quite a creative concept, I felt. The food was top class. The place is also clean and hygienic.",POS,POS,POS,N/A,
Hong Tauw Inn,Google Maps,English,"This is an excellent Thai restaurant, with a homey feel. It's a family run business with a focus on freshness and quality. The serves tend to be on the small side, but the prices match. You can eat very well, very cheaply.",POS,N/A,POS,POS,
