Review_Index,FOOD,SERVICE,ATMOS,PRICE
1,N/A,NEG,N/A,N/A
2,POS,POS,POS,N/A
3,POS,NEG,NEG,N/A
4,POS,N/A,N/A,N/A
5,POS,N/A,N/A,N/A
6,POS,N/A,POS,N/A
7,POS,POS,POS,N/A
8,POS,N/A,POS,N/A
9,POS,N/A,POS,N/A
10,POS,N/A,N/A,POS
11,N/A,N/A,POS,N/A
12,NEU,N/A,POS,NEU
13,POS,N/A,POS,N/A
14,N/A,N/A,POS,N/A
15,N/A,N/A,POS,N/A
16,POS,POS,N/A,N/A
17,POS,POS,POS,N/A
18,POS,POS,POS,N/A
19,POS,N/A,POS,POS
20,NEU,POS,POS,NEU
21,POS,POS,POS,POS
22,POS,N/A,N/A,N/A
23,NEU,N/A,N/A,NEG
24,NEG,POS,N/A,N/A
25,POS,N/A,N/A,N/A
26,NEG,NEG,NEG,N/A
27,POS,N/A,POS,POS
28,N/A,N/A,NEG,N/A
29,POS,N/A,POS,N/A
30,POS,N/A,N/A,N/A
31,POS,N/A,POS,N/A
32,N/A,POS,N/A,NEG
33,POS,POS,N/A,N/A
34,POS,N/A,N/A,NEG
35,POS,POS,N/A,N/A
36,POS,N/A,N/A,N/A
37,POS,POS,N/A,N/A
38,POS,N/A,N/A,N/A
39,N/A,N/A,POS,N/A
40,POS,POS,POS,POS
41,POS,N/A,N/A,N/A
42,NEG,NEG,N/A,N/A
43,POS,POS,POS,N/A
44,N/A,N/A,POS,N/A
45,POS,N/A,N/A,N/A
46,POS,NEG,POS,N/A
47,N/A,POS,POS,N/A
48,POS,POS,POS,N/A
49,N/A,N/A,NEG,N/A
50,POS,NEG,N/A,N/A
51,POS,N/A,N/A,POS
52,POS,N/A,N/A,N/A
53,POS,N/A,N/A,POS
54,POS,POS,N/A,N/A
55,POS,POS,N/A,N/A
56,POS,POS,N/A,POS
57,POS,POS,POS,N/A
58,POS,N/A,N/A,N/A
59,NEG,NEG,N/A,NEG
60,POS,N/A,N/A,N/A
61,POS,N/A,POS,N/A
62,POS,POS,N/A,NEG
63,N/A,N/A,NEG,N/A
64,POS,POS,POS,POS
65,N/A,POS,POS,N/A
66,POS,N/A,NEU,N/A
67,POS,N/A,POS,N/A
68,POS,N/A,POS,N/A
69,POS,N/A,POS,N/A
70,N/A,NEU,N/A,N/A
71,POS,POS,N/A,N/A
72,N/A,NEU,N/A,N/A
73,POS,POS,POS,N/A
74,POS,N/A,POS,N/A
75,N/A,N/A,NEG,N/A
76,POS,POS,N/A,N/A
77,POS,POS,NEU,POS
78,POS,N/A,N/A,POS
79,NEG,N/A,POS,N/A
80,POS,N/A,N/A,N/A
81,POS,N/A,N/A,N/A
82,POS,N/A,N/A,N/A
83,POS,N/A,N/A,N/A
84,NEU,N/A,NEU,N/A
85,POS,POS,POS,N/A
86,POS,N/A,POS,N/A
87,POS,N/A,POS,N/A
88,POS,N/A,NEG,POS
89,POS,N/A,POS,POS
90,POS,N/A,N/A,POS
91,POS,POS,POS,N/A
92,POS,POS,POS,N/A
93,N/A,POS,POS,N/A
94,POS,N/A,POS,POS
95,POS,POS,N/A,N/A
96,POS,N/A,NEU,N/A
97,N/A,NEG,N/A,N/A
98,POS,POS,POS,NEG
99,POS,N/A,N/A,POS
100,NEU,N/A,N/A,N/A
