Restaurant_Name,URL
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951147,98.9625655,19z/data=!3m1!4b1!4m6!3m5!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!16s%2Fg%2F11mkqmcr7t?entry=ttu&g_ep=EgoyMDI2MDEyNS4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D"
October : Japanese Home Cooking,"https://www.google.com/maps/place/October+:+Japanese+Home+Cooking/@18.7950131,98.96292,19z/data=!3m1!4b1!4m6!3m5!1s0x30da3a702314e179:0x60d025cf5d848c9e!8m2!3d18.7950118!4d98.9635637!16s%2Fg%2F11b6v8_4kp?entry=ttu&g_ep=EgoyMDI2MDEyNS4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D"
ครัวป้าอ้อย,"https://www.google.com/maps/place/%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%9B%E0%B9%89%E0%B8%B2%E0%B8%AD%E0%B9%89%E0%B8%AD%E0%B8%A2/@18.7949296,98.9634376,19.71z/data=!4m6!3m5!1s0x30da3bd391eac2f7:0x9a6ac25cbacba641!8m2!3d18.7949734!4d98.9639108!16s%2Fg%2F11nxfy0y3z?entry=ttu&g_ep=EgoyMDI2MDEyNS4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D"
ละออ ก๋วยเตี๋ยวบะช่อ L'aor Thai noodle,"https://www.google.com/maps/place/%E0%B8%A5%E0%B8%B0%E0%B8%AD%E0%B8%AD+%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B8%9A%E0%B8%B0%E0%B8%8A%E0%B9%88%E0%B8%AD+L'aor+Thai+noodle/@18.7949681,98.9632539,19z/data=!3m1!4b1!4m6!3m5!1s0x30da314837f22861:0xf2c7f54674d35ccd!8m2!3d18.7949668!4d98.9638976!16s%2Fg%2F11rsyvnjm8?entry=ttu&g_ep=EgoyMDI2MDEyNS4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D"
Beer Lab,"https://www.google.com/maps/place/Beer+Lab/@18.7954545,98.964995,19.65z/data=!4m6!3m5!1s0x30da3a631c62feed:0x4361654b091a8519!8m2!3d18.7956602!4d98.9656397!16s%2Fg%2F11b8vg9gry?entry=ttu&g_ep=EgoyMDI2MDEyNS4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D"
S&A Beverages Nimman,"https://www.google.com/maps/place/S%26A+Beverages+Nimman/@18.7962412,98.9633002,17z/data=!3m1!4b1!4m6!3m5!1s0x30da3b7ac949270d:0x3170876391c6f3ad!8m2!3d18.7962361!4d98.9658751!16s%2Fg%2F11x27j7h2p?entry=ttu&g_ep=EgoyMDI2MDEyNS4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D"
SUMI to SUSHI ???,"https://www.google.com/maps/place/SUMI+to+SUSHI+%E7%82%AD%E3%81%A8%E9%AE%A8/@18.7962563,98.963083,17z/data=!3m1!4b1!4m6!3m5!1s0x30da3b31cf508c9d:0x46c67f4dfbd2ffe9!8m2!3d18.7962512!4d98.9656579!16s%2Fg%2F11x8j2b6rc?entry=ttu&g_ep=EgoyMDI2MDEyNS4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D"
Tai Kin Grand Sushi (Tanpark),"https://www.google.com/maps/place/Tai+Kin+Grand+Sushi+(Tanpark)/@18.7968296,98.961228,17z/data=!3m1!4b1!4m6!3m5!1s0x30da3b90ced394e9:0xf6c82acc1672e81d!8m2!3d18.7968245!4d98.9638029!16s%2Fg%2F11wbzb5gq9?entry=ttu&g_ep=EgoyMDI2MDEyNS4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D"
ตะวันแดง มหาซน เชียงใหม่,"https://www.google.com/maps/place/%E0%B8%95%E0%B8%B0%E0%B8%A7%E0%B8%B1%E0%B8%99%E0%B9%81%E0%B8%94%E0%B8%87+%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%8B%E0%B8%99+%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88/@18.7971241,98.9614863,17z/data=!3m1!4b1!4m6!3m5!1s0x30da3b984a6e905b:0x695301c5fe3472cb!8m2!3d18.797119!4d98.9640612!16s%2Fg%2F11sdqy4kb_?entry=ttu&g_ep=EgoyMDI2MDEyNS4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D"
น้องบีอาหารเมียนมา,"https://www.google.com/maps/place/%E0%B8%99%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%9A%E0%B8%B5%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B8%A2%E0%B8%99%E0%B8%A1%E0%B8%B2/@18.7966131,98.9651577,18z/data=!3m1!4b1!4m6!3m5!1s0x30da3a63001c91c3:0x38a023f8cbd1e8a0!8m2!3d18.7966116!4d98.9659075!16s%2Fg%2F11b7jhvzqd?entry=ttu&g_ep=EgoyMDI2MDEyNS4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D"
