Restaurant_Name,URL,Is_Local_Guide,Total_User_Reviews,Rating,Date,Review_Original,Service_Option,Meal_Type,Price_Range,Noise_Level,Crowd_Size,Score_Food,Score_Service,Score_Atmosphere,Recommended_Dishes,Parking_Options,Vegetarian_Options,Kid_Friendliness,Wheelchair_Access,Dietary_Restrictions
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",1,15,5,a month ago,"I feel so lucky and even grateful for finding such this place to eat. The food is delicious and the price is not expensive at all. They even have self-service water, and soup. Truly highly recommend this place.",,,,,,,,,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",0,6,5,2 months ago,มาทานครั้งแรกประทับใจมากค่ะ ร้านสะอาด อาหารอร่อย เจ้าของร้านก็น่ารัก ไว้จะมาลองเมนูอื่นอีกแน่นอนค่ะ,,,,,,5,5,5,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",0,8,5,2 months ago,ข้าวผัดคั่วพริกเกลือหมูกรอบ อร่อยดีครับ  รอไม่นาน บริการดีครับ ต้องมาลองครับ จะไปลองเมนูอื่นเรื่อย ๆ นะครับ 😁,,Lunch,฿1-200,,,5,5,5,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",1,321,5,2 months ago,อาหารอร่อย คุ้มราคา ทานที่ร้านแนะนำรถมอเตอร์ไซด์จะสะดวกกว่า,Dine in,Dinner,฿1-200,,,5,5,5,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",0,7,5,2 months ago,ข้าวผัดมันเนื้อ หอม น่าทาน อร่อยมากๆๆเลยค่ะ,Dine in,Dinner,฿1-200,,,5,5,5,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",0,3,5,a month ago,อาหารรสชาติอร่อยมากครับราคาไม่แพงมาก ได้ปริมาณเหมาะสมกับราคา,Dine in,Lunch,฿1-200,,,5,5,4,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",0,4,5,a month ago,อาหารอร่อยครับ รสชาติดีมาก บรรยากาศร้าน และการบริการดีมากครับ 👍🏻 แนะนำข้าวผัดสับปะรดครับ,Dine in,Dinner,฿1-200,,,5,5,4,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",0,1,5,2 months ago,อาหารรสชาติดี อร่อย ปริมาณเหมาะสม ราคาไม่แพง เริ่ดๆๆ,,,,,,5,5,5,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",0,2,5,2 months ago,รสชาติจัดจ้าน คุ้มค่ามากครับ อร่อยครับ,,Lunch,฿1-200,,,5,5,5,,,,,,
ข้าวผัดพ่นไฟ,"https://www.google.com/maps/place/%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%9C%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%9F/@18.7951134,98.9632092,19z/data=!4m8!3m7!1s0x30da3bd2bc6bc6a9:0xaee3904e4cc92d9d!8m2!3d18.7951134!4d98.9632092!9m1!1b1!16s%2Fg%2F11mkqmcr7t?hl=en&entry=ttu&g_ep=EgoyMDI2MDIwOS4wIKXMDSoASAFQAw%3D%3D",0,8,5,2 months ago,ห้องแอร์เย็น ๆ กับข้าวอร่อย ๆ ราคาค่อนข้างโอเคเลยค่ะ,,,,,,5,5,5,,,,,,
