Is_Local_Guide,Total_User_Reviews,Rating,Date,Review_Original,Service_Option,Meal_Type,Price_Range,Noise_Level,Crowd_Size,Score_Food,Score_Service,Score_Atmosphere,Recommended_Dishes,Parking_Options,Vegetarian_Options,Kid_Friendliness,Wheelchair_Access,Dietary_Restrictions
1,183,5,4 months ago,A cozy little Japanese fusion restaurant! Amazing food!! Highly recommended when you’re in Chiang Mai!!,,,,,,5,5,5,,,,,,
1,259,5,2 years ago,Fantastic restaurant! The beef was very high quality and the service was amazing. Our food came so fast we were so surprised! I’d recommend coming here if you like Japanese food it’s excellent! 5 stars!,Dine in,Dinner,฿400-500,,,5,5,5,,,,,,
1,120,5,5 years ago,"If Google have 10stars, I will give all!
I’m a beef lover that’s why I love this restaurant. Almost every menu are so interesting. My friend and I selected the best 4 menus as the picture. I wasn’t remembered what’s the menu that we ordered but all menus are delicious!
I love beef soup and fried rice with garlic. Both menu are excellent more than I can say!
The restaurant have quite less seating. I think I may suggest you had better call to make a reservation in advance.
In totally I like this restaurant.",,,,,,,,,,,,,,
1,614,5,3 years ago,"One of my most favorite restaurants to go to in Chiang Mai. The beef is so tender and delicious. The pasta was also very good and so was the mango cheesecake. So to sum it up, everything on the menu was great! The price is pretty high but it is really worth it.",Dine in,Dinner,฿400-500,,,,,,,,,,,
1,259,5,8 months ago,Very nice authentic Japanese food. The place is cozy the decoration is simple but the staff is very friendly and they also have coffee and Japanese desserts. I eat here often and recommend it to everyone.,,,฿600-700,"Quiet, easy to talk",,5,5,5,,,,,,
1,32,5,a year ago,Probably one of the best steak and fried rice I have found.  Very good. Ordered the larger serving Thai beef fried rice for 499 baht. Dish behind mine was the regular size for reference.,,,฿400-500,,,5,5,5,,,,,,
1,16,5,3 months ago,A small Japanese restaurand with humble but excellent food quality.,,,,,,5,4,4,,,,,,
1,179,4,7 years ago,"Really good cafe. This would be the perfect place for a visit. It has great coffee, a selection of cakes & juices, as well as Asian, Thai & Western food choices. It isn’t too expensive at all. Free Wifi & is clean, tidy & friendly staff. The outside appearance could give the wrong impression as it is underwhelming. Don’t be misled, it’s really good.",,,,,,,,,,,,,,
1,1591,5,7 years ago,Ordered an americano and it tasted exactly to my liking.  The staff are friendly and the food I could see on other people’s tables lookers pretty tasty.  There’s not a lot of seating but there’s a large bench seat with a couple of tables you can work from.  There’s also 3 individual tables with power sockets next to them if you want to charge your gear.  There’s an L shaped couch at the back of you want to chill out and not work. #BeatTheGrind,,,,,,,,,,,,,,
1,23,1,a month ago,"Nope. We literally didn’t finish our food. We tried their curry and it was not great. The katsu was awful. And the omurice? Was just an undercooked omelet, not authentic nor impressive.",,Lunch,฿200-400,Very quiet,,1,2,2,,,,,,
1,163,2,a year ago,"Came to try the rice bowl, it was OKAY but not tasty.

I get that they use AUS Wagyu but regarding the price and portion size, it’s not worth it at all.

The beef tasted the same as a 400 baht buffet I had yesterday and the small rice bowl here is 340 … disappointing.",Dine in,,฿200-300,,,2,2,3,,,,,,
1,14,5,5 months ago,I love their beef fat and garlic friend rice! Very fragrant and unique. The dish can be pricy but the taste is worth the price. The portion is small for me. 😁,,Brunch,฿200-400,,,5,4,4,,,,,,
1,23,5,3 years ago,"Very good service. Tried the Thai food in a Japanese homemade styled restaurant, it was decent. Will return for one of the beef bowls next time.
Fyi, don't park on the road between 4pm-7pm in front of the restaurant, I got a ticket!😅 …",,,,,,,,,,,,,,
1,151,5,Edited 2 years ago,Cozy family run home cafe serving delicious food & coffee. The owners are polite and service is fast.,Dine in,Brunch,฿100-200,,,5,5,5,"Like, Share",,,,,
1,43,4,3 months ago,"It’s a charming little homemade Japanese food place, taste amazing, the portions are small though.",Dine in,Dinner,฿200-400,,,5,4,4,,,,,,
1,103,5,4 years ago,"A nice place to grab quick good quality meal and coffee. Price of food is on the upper-scale, but their quality is good. Overall, a nice place for quick relaxing meal or coffee",,,,,,,,,,,,,,
1,306,5,3 years ago,I tried the Aus steak with fried rice. It was great. Beef was tender. Fried rice was really good too. I plan to go back and try some other dishes soon.,Dine in,Dinner,฿300-400,,,5,5,5,,,,,,
1,130,5,3 years ago,"My favourite restaurant in Chiang Mai, the beef dishes are exceptional with very reasonable prices. I will always visit this place whenever I go to Chiang Mai.",Dine in,Lunch,,,,,,,,,,,,
1,563,5,Edited 6 years ago,Delicious food with big portions. Very affordable too. A pleasantly surprising hidden find,,,,,,,,,,,,,,
1,187,1,a year ago,"I've come here for their beef bowls before and it's been fine. But after this last visit, I cannot recommend anymore. The beef fat fried rice had overcooked tasteless dry beef pieces in it, the fried chicken was so oily and soggy, and the bulgogi sandwich really was quite bad. Worst off, both me and my friend had diarrhea the morning after dinner here for the whole day. Something happened to the quality here and I don't recommend anyone visiting here to find out what it is. Very disappointed.",Dine in,Dinner,฿300-400,,,1,2,2,,,,,,
1,30,5,3 months ago,Delicious simple Japanese food in a homey setting. Great value.,,,฿200-400,,,5,5,5,,,,,,
1,144,4,a year ago,"Good fast food Japenese cuisine in a stylish, cozy corner near the college campus. Great for a quick lunch meeting with colleagues. It was a little pricey for what it was, but full flavors. Check their menu online before entering.",Dine in,Lunch,฿100-200,,,4,4,4,,,,,,
1,277,4,Edited a year ago,"I recommend the omurice, the ""thammada"" normal version and the one with Tonkatsu, on 2 different occasions.
The coffee was on point as well.
The reception was polite and the wifi is fast. The waitress gave me a bit of a xenophobic vibe since she just put the menu on the far side of my table but gave the menu with a greeting to the other thai customers next table. Anyways not a big deal I came here to eat, not to get my ego stroked. I enjoyed the taste of the kare and eggs and the tonkatsu was well done.",,,฿200-300,,,5,4,3,,,,,,
1,42,3,3 months ago,Good food but very small size,,,,,,3,,,,,,,,
1,164,2,2 years ago,"Disappointed! I ordered on Grab the krapow beef rice for 140b and 70b for extra portion. What I recieved is a thin small box of food. The meat portion is barely half the amount was shown in the picture even with extra portion. Taste is average, for the price its totally not worth it.",Delivery,Lunch,฿200-300,,,2,,,,,,,,
1,371,4,4 years ago,Portion is small but taste is good. A bit pricy but acceptable.but really small portion,,,,,,,,,,,,,,
1,81,5,6 years ago,A cosy place to have a quick and delicious dinner at a reasonable price. Love the homemade menu from fried rice to Japanese dishes. My favourite dishes are fried rice (ข้าวผัดมันกุ้ง)! You can see how delicious it looks like! Would recommend for both locals and tourists.,,,,,,,,,,,,,,
1,761,4,8 years ago,"Cute little cafe with a selection of drinks and cakes. I just ordered two drinks (iced mocha and iced caramel latte) for takeaway. You can sit at the counter and watch the action and their little kitchen is very homely, almost feels like you're sitting in someone's kitchen. Rest of the cafe has seating with a more traditional cafe feel, if that's your thing. Staff seemed to take a lot of care with our drink making. On the downside I though the drink sizes were a bit small for the price (65 - 75 baht), especially considering the cup is more than half filled with ice.",,,,,,,,,,,,,,
1,201,4,9 years ago,"Nice small and quite cafe, good idea to have brunch here",,,,,,,,,,,,,,
1,160,4,5 years ago,"I ordered gyukatsu, beef steak donburi and creamy ebiko spaghetti with shrimp. The spaghetti surprised me! It's so delicious, my friends and I really like this one. For beef steak donburi is so good too. I choose the Australian beef, it's so soft. I'm quite disappointed for the Gyukatsu, the meat has no flavor. However, it's understandable because this one is a new menu and the price is cheap for people who want to try. They said they would develop and imprve this menu. I think the taste will get better next time👍",,,,,,,,,,,,,,
1,48,5,6 years ago,Coffee is surprisingly cheap yet solid quality. Food is awesome.,,,,,,,,,,,,,,
1,292,5,Edited a year ago,"Amazing food, Thai - Japanese fusion. One of our favourites in Chiang Mai.",Delivery,Lunch,฿300-400,,,5,4,4,,,,,,
1,128,5,a year ago,Loved the food here! It really is like home cooked meals.,Delivery,Dinner,฿200-300,,,5,5,5,,,,,,
1,36,4,9 years ago,Possibly the best barista in Chiang Mai. Excellent selection of imported beans from Nordic coffee roasters. A+ for coffee :) the environment could use a makeover - a little dated.,,,,,,,,,,,,,,
1,12,1,3 years ago,"Not delicious enough and too expensive

I ordered plain curry rice and volcano roast beef rice. They were really disappointing. (Small amount, serve with cold temperature)",Dine in,Dinner,฿100-200,,,,,,,,,,,
1,33,5,5 years ago,"Au Beef.. so good, smell nice, beef cook exact at order level (medium & medium rare).. good price and portion. Pudding is good as well.",,,,,,,,,,,,,,
1,58,5,5 years ago,"Delicious! Had heard about this for a while, finally got a chance and it did not disappoint. Cozy little restaurant, good service and amazing food! Might come back for dinner tonight.",,,,,,,,,,,,,,
1,1161,4,7 years ago,Nice and chill place. Cozy interior and super friendly staff. Didnt like my burger too much but will be back to try the omlettes.,,,,,,,,,,,,,,
1,74,5,9 years ago,One of the best coffee dripper in Thailand,,,,,,,,,,,,,,
1,66,5,5 years ago,Excellent and consistent. Been here many times. Incredible value. Limited seating. Cakes sell out fast.,,,,,,,,,,,,,,
1,22,5,3 years ago,One of my favorite spots in town for Steak Don Buri. Great Coffee and Juice too!,,,,,,,,,,,,,,
0,9,2,3 years ago,I was looking forward to eat here. But reality was that roast meat was dry and waitstaffs weren't ready for service; always looking at thier phone.,Dine in,Brunch,,,,,,,,,,,,
1,357,5,8 years ago,"One-stop place to work, drink coffee or fresh juice, and eat Thai, Italian or burgers. Friendly owners and  smooth jazz in the background.",,,,,,,,,,,,,,
1,81,5,7 years ago,Home cooking with nothing make u disappointed,,,,,,,,,,,,,,
1,15,4,6 years ago,"good food, nice little place but some menu may be too expensive",,,,,,,,,,,,,,
1,311,5,8 years ago,Good food and coffee. I love collard green stir fry with garlic pork.,,,,,,,,,,,,,,
1,121,5,2 years ago,Delicious beef and wonderful service. Would recommend.,Dine in,Dinner,฿200-300,,,5,5,3,"Beef, Like, Share",,,,,
1,62,5,7 years ago,"Great cafe with really good thai food at good prices.service is excellent, very friendly!!",,,,,,,,,,,,,,
1,27,5,2 years ago,Really good fried chicken. Super nice staff and service.,,,,,,5,5,5,,,,,,
1,15,5,6 years ago,I LOVED my half-strength latte. I would definitely go back again.,,,,,,,,,,,,,,
1,20,5,2 years ago,Everything was so delicious! And I love the pudding!!,,,,,,5,5,5,,,,,,
1,56,4,7 years ago,good coffee good lunch,,,,,,,,,,,,,,
1,25,2,7 years ago,Another glorified Chiang Mai cafe with overpriced food with portions for pigeons.,,,,,,,,,,,,,,
1,34,5,3 years ago,Looks like a 1950s cafe very neat and clean great decorations,Dine in,Brunch,฿100-200,,,,,,,,,,,
1,13,5,7 years ago,Real time slow food but worthwhile to wait for it!,,,,,,,,,,,,,,
0,2,5,6 years ago,"Food was good,  and 15% off on Friday!  Tgif!",,,,,,1,,,,,,,,
1,24,5,9 years ago,Great coffee and food,,,,,,,,,,,,,,
1,437,5,3 years ago,Great beef Japanese style menus in town.,Dine in,Dinner,฿200-300,,,,,,,,,,,
1,93,5,4 years ago,One of the greatest Japanese home cook in Chiangmai,,,,,,,,,,,,,,
1,120,4,9 years ago,One of the most talented barista is here.,,,,,,,,,,,,,,
1,630,3,3 years ago,"Good  customer services, nice steak",Dine in,Lunch,฿900-1,,,,,,,,,,,
1,881,5,3 years ago,Hidden gens.,,,,,,,,,,,,,,
1,18,5,8 months ago,Pretty great!,,,,,,,,,,,,,,
1,70,5,7 years ago,Good coffee n cakes 😋 …,,,,,,,,,,,,,,
1,134,5,6 years ago,I was born on October.I like this coffee shop.,,,,,,,,,,,,,,
1,40,4,8 years ago,Nice and cosy coffee shop.,,,,,,,,,,,,,,
1,35,5,7 years ago,"Great coffee, great food",,,,,,,,,,,,,,
1,177,5,8 years ago,Good Thai food,,,,,,,,,,,,,,
1,55,5,7 years ago,Nice coffee and cake,,,,,,,,,,,,,,
1,26,4,6 years ago,Good food and coffee,,,,,,,,,,,,,,
1,648,5,9 years ago,Excellent coffee,,,,,,,,,,,,,,
1,36,2,6 years ago,Very average,,,,,,,,,,,,,,
1,197,4,7 years ago,Various choices of foods,,,,,,,,,,,,,,
1,46,5,2 months ago,อาหารอร่อยแบบ homemade พนักงานบริการดีมากๆ ราคากลางๆ บรรยากาศดี หาที่จอดรถยากหน่อย,,,,,,5,5,4,,,,,,
