Original_Index,Restaurant_Name,Review_Text,FOOD,SERVICE,ATMOS,PRICE
0,ข้าวผัดพ่นไฟ,"I feel so lucky and even grateful for finding such this place to eat. The food is delicious and the price is not expensive at all. They even have self-service water, and soup. Truly highly recommend this place.",POS,N/A,N/A,POS
1,ข้าวผัดพ่นไฟ,มาทานครั้งแรกประทับใจมากค่ะ ร้านสะอาด อาหารอร่อย เจ้าของร้านก็น่ารัก ไว้จะมาลองเมนูอื่นอีกแน่นอนค่ะ,POS,POS,POS,N/A
2,ข้าวผัดพ่นไฟ,ข้าวผัดคั่วพริกเกลือหมูกรอบ อร่อยดีครับ  รอไม่นาน บริการดีครับ ต้องมาลองครับ จะไปลองเมนูอื่นเรื่อย ๆ นะครับ 😁,POS,POS,N/A,N/A
3,ข้าวผัดพ่นไฟ,อาหารอร่อย คุ้มราคา ทานที่ร้านแนะนำรถมอเตอร์ไซด์จะสะดวกกว่า,POS,N/A,N/A,POS
4,ข้าวผัดพ่นไฟ,ข้าวผัดมันเนื้อ หอม น่าทาน อร่อยมากๆๆเลยค่ะ,POS,N/A,N/A,N/A
5,ข้าวผัดพ่นไฟ,อาหารรสชาติอร่อยมากครับราคาไม่แพงมาก ได้ปริมาณเหมาะสมกับราคา,POS,N/A,N/A,POS
6,ข้าวผัดพ่นไฟ,อาหารอร่อยครับ รสชาติดีมาก บรรยากาศร้าน และการบริการดีมากครับ 👍🏻 แนะนำข้าวผัดสับปะรดครับ,POS,POS,POS,N/A
7,ข้าวผัดพ่นไฟ,อาหารรสชาติดี อร่อย ปริมาณเหมาะสม ราคาไม่แพง เริ่ดๆๆ,POS,N/A,N/A,POS
8,ข้าวผัดพ่นไฟ,รสชาติจัดจ้าน คุ้มค่ามากครับ อร่อยครับ,POS,N/A,N/A,POS
9,ข้าวผัดพ่นไฟ,ห้องแอร์เย็น ๆ กับข้าวอร่อย ๆ ราคาค่อนข้างโอเคเลยค่ะ,POS,N/A,POS,POS
10,ข้าวผัดพ่นไฟ,Local taste for local warning hot!! and spcicy. Comfort food but for local all in all good!,POS,N/A,N/A,N/A
11,ข้าวผัดพ่นไฟ,อร่อยดีค่ะ เมนูน่าสนใจ,POS,N/A,N/A,N/A
12,ข้าวผัดพ่นไฟ,ข้าวแข็งไปนิดหน่อย😁 อร่อยโดยรวมแล้วโอเคค่ะ👍🏻,NEU,N/A,N/A,N/A
13,ข้าวผัดพ่นไฟ,รสชาติอร่อยมากค่ะ ขอไข่ดาวกรอบๆ ก็ได้กรอบเลย เมนูหลากหลาย คราวหน้าจะไปลองเมนูอื่นค่า,POS,POS,N/A,N/A
14,ข้าวผัดพ่นไฟ,ข้าวผัดคั่วพริกเกลือหอมกลิ่นกะทะ อร่อยมากกกก 🥳,POS,N/A,N/A,N/A
15,ข้าวผัดพ่นไฟ,"ข้อดี
ข้าวเรียงเม็ดสวย ไม่แฉะ
รสชาติกะเพราดีมาก อร่อยมาก
ร้านสะอาด มีแอร์เย็นสบาย
พนักงานต้อนรับดีมาก

ความเห็นส่วนตัว
ภาพในออเดอร์ที่สั่งมีไข่ดาวอยู่ในภาพ
แต่ความจริงต้องเพิ่มไข่ดาวเองอีก 10 บาท
ควรนำไข่ดาวออกจากเมนู จะได้ไม่สับสน

ส่วนตัวว่าปริมาณได้น้อยไป ถ้าเทียบกับราคา
(กะเพราไก่กรอบก็ไม่มีใบกะเพราทอดที่วางอยู่บนข้าวตามในภาพ ไข่ดาวก็ทอดไม่เหมือนในภาพ ของจริงทอดในกระทะหลุมกลม)
พริกน้ำปลาก็มีพริกน้อยมากแถมยังไม่มีอยู่ประจำโต๊ะอีก  ต้องยกจานที่เสริฟไปตักเองที่จุดบริการ
ทิชชู่ก็ไม่มีที่โต๊ะ ช้อนและส้อมต้องไปหยิบเอง",NEU,NEU,POS,NEG
16,ข้าวผัดพ่นไฟ,อาหารอร่อย กะเพราเนื้อสับนัวมาก มีห้องแอร์ให้นั่งเย็นๆ,POS,N/A,POS,N/A
17,ข้าวผัดพ่นไฟ,ข้าวผัดสับปะรดที่ถูกต้องค่า แต่ขาดอย่างนึงคือลูกเกด 555555 รสชาติดีนะคะ,POS,N/A,N/A,N/A
18,ข้าวผัดพ่นไฟ,อาหารอร่อย  รสชาติดี มีซุปแถม ห้องแอร์,POS,POS,POS,N/A
19,ข้าวผัดพ่นไฟ,"กะเพราะหมูกรอบ มาม่าไก่กรอบ อร่อยมากค่ะ
ห้องแอร์เย็นสบาย",POS,N/A,POS,N/A
20,ข้าวผัดพ่นไฟ,ข้าวผัดของจริงเม็ดร่วนไม่แฉะ เม็ดเด้ง ๆ อร่อย,POS,N/A,N/A,N/A
21,ข้าวผัดพ่นไฟ,ร้านเล็กๆน่ารักมาก ราคาไม่แพง เคยมากินแล้วรอบนึง ชอบเมนูข้าวไข่ข้น,POS,N/A,POS,POS
22,ข้าวผัดพ่นไฟ,อร่อย ราคาดี มาตำอีกแน่นอนค่ะ,POS,N/A,N/A,POS
23,ข้าวผัดพ่นไฟ,กระเพรารสชาติที่ถูกต้อง อร่อยมากครับ,POS,N/A,N/A,N/A
24,ข้าวผัดพ่นไฟ,อร่อยมากครับ บรรยากาศดี พนักงานพูดจาดีมากครับ,POS,POS,POS,N/A
25,ข้าวผัดพ่นไฟ,"The food is quite unique and tasty, the interior is pretty clean.

There are many options to choose from Pad-Krapow, Fried rice or Stir-fry noodles with fun twist and toppings!

I tried the Tom-yum canned fish and it's delicous.

Overall a unique fried rice shop!",POS,N/A,POS,N/A
26,ข้าวผัดพ่นไฟ,บรรยากาศร้านดี เดินทางสะดวกใกล้นิมมาน อาหารอร่อยม๊ากกกกก พนักงานพูดจาน่ารัก,POS,POS,POS,N/A
27,ข้าวผัดพ่นไฟ,สั่งข้าวผัดสับปะรด ข้าวผัดต้มยำทะเล อร่อยมากค่ะ,POS,N/A,N/A,N/A
28,ข้าวผัดพ่นไฟ,"While passing by a small shop on the street, I noticed that the interior decoration was very clean and bright. The pineapple rice was highly praised!",POS,N/A,POS,N/A
29,ข้าวผัดพ่นไฟ,อาหารอร่อยมากเลยค่ะ,POS,N/A,N/A,N/A
30,ข้าวผัดพ่นไฟ,ข้าวผัดอร่อยเริ่ด มาแบบร้อนๆเลยจ้า,POS,N/A,N/A,N/A
31,ข้าวผัดพ่นไฟ,ไก่กรอบอร่อยมากครับ,POS,N/A,N/A,N/A
32,ข้าวผัดพ่นไฟ,ข้าวกะเพราไก่กรอบอร่อยดี​ ไก่กรอบกรอบอร่อย​ บรรยากาศดี​ มีแอร์​ ราคาคุ้มค่า,POS,N/A,POS,POS
33,ข้าวผัดพ่นไฟ,Nice buffet with fresh food in good price,POS,N/A,N/A,POS
34,ข้าวผัดพ่นไฟ,อร่อยมากค่า🫶🏻🫶🏻,POS,N/A,N/A,N/A
35,ข้าวผัดพ่นไฟ,อร่อย แซ่บครับ,POS,N/A,N/A,N/A
36,ข้าวผัดพ่นไฟ,อร่อยมากครับบ,POS,N/A,N/A,N/A
37,ข้าวผัดพ่นไฟ,แนะนำข้าวผัดร้านนี้นะตะ,POS,N/A,N/A,N/A
38,ข้าวผัดพ่นไฟ,ราคาไม่เเพง อาหารอร่อยดี มีน้ำเปล่ากับน้ำซุปฟรี,POS,N/A,N/A,POS
39,ข้าวผัดพ่นไฟ,ข้าวผัดอร่อยหอมกระทะ,POS,N/A,N/A,N/A
40,ข้าวผัดพ่นไฟ,อร่อยมากครับ,POS,N/A,N/A,N/A
41,ข้าวผัดพ่นไฟ,อาหารอร่อย ปริมาณเหมาะสม,POS,N/A,N/A,N/A
42,ข้าวผัดพ่นไฟ,อาหารน่าทานมากกก บรรยากาศในร้านดี,POS,N/A,POS,N/A
43,ข้าวผัดพ่นไฟ,บรรยากาศดี บริการยอดสุดยอด,N/A,POS,POS,N/A
44,ข้าวผัดพ่นไฟ,อร่อยดีครับ,POS,N/A,N/A,N/A
45,ข้าวผัดพ่นไฟ,"😋🥗อาหารอร่อย​ ได้เยอะแบบจุก​ อิ่มถึงเย็น
🥘🍍ข้าวผัดสับปะรด​ในแบบฉบับที่แท้ทรู
❤️ไว้ไปลองชิมเมนู​อื่นๆเพิ่มเติมน้า",POS,N/A,N/A,N/A
46,ข้าวผัดพ่นไฟ,กะเพราเนื้ออร่อย,POS,N/A,N/A,N/A
48,ข้าวผัดพ่นไฟ,ร้านบรรยากาศดี ข้าวอร่อยครับ,POS,N/A,POS,N/A
49,ข้าวผัดพ่นไฟ,I really like their lava egg and pork krapow!! Amazing place :),POS,N/A,POS,N/A
50,ข้าวผัดพ่นไฟ,อาหารน่ากินเยอะมากค่ะ,POS,N/A,N/A,N/A
51,ข้าวผัดพ่นไฟ,ข้าวผัดและผัดไท  อร่อยมากค่ะ,POS,N/A,N/A,N/A
52,ข้าวผัดพ่นไฟ,อร่อยมากเจ้าบริการดี,POS,POS,N/A,N/A
53,ข้าวผัดพ่นไฟ,พี่เจ้าของบริการดีมากเลยค่ะะะะ,N/A,POS,N/A,N/A
54,ข้าวผัดพ่นไฟ,99 บาท 😳,N/A,N/A,N/A,NEU
56,ข้าวผัดพ่นไฟ,อาหารอร่อย ราคาถูก,POS,N/A,N/A,POS
57,ข้าวผัดพ่นไฟ,ถูกอร่อยมากครับ,POS,N/A,N/A,POS
58,ข้าวผัดพ่นไฟ,อร่อย คุ้มค่า สมราคา,POS,N/A,N/A,POS
59,ข้าวผัดพ่นไฟ,บรรยากาศดี  อาหารอร่อย,POS,N/A,POS,N/A
60,ข้าวผัดพ่นไฟ,Very amazing minced pork rice !,POS,N/A,N/A,N/A
61,ข้าวผัดพ่นไฟ,อร่อยมาก,POS,N/A,N/A,N/A
63,ข้าวผัดพ่นไฟ,ฟินมากกกก,POS,N/A,N/A,N/A
65,ข้าวผัดพ่นไฟ,อร่อยมากค่ะ,POS,N/A,N/A,N/A
66,ข้าวผัดพ่นไฟ,อร่อยมากครับ,POS,N/A,N/A,N/A
67,ข้าวผัดพ่นไฟ,อาหารน่ากิน,POS,N/A,N/A,N/A
68,ข้าวผัดพ่นไฟ,อาหารอร่อย,POS,N/A,N/A,N/A
69,ข้าวผัดพ่นไฟ,อร่อยมากครับ,POS,N/A,N/A,N/A
70,ข้าวผัดพ่นไฟ,สอาดอร่อย,POS,N/A,N/A,N/A
72,ข้าวผัดพ่นไฟ,ดีค่ะ,N/A,N/A,N/A,N/A
75,ข้าวผัดพ่นไฟ,Its very tasty. I love khawpad namprickapi so muchh.,POS,N/A,N/A,N/A
78,October : Japanese Home Cooking,อาหารอร่อยแบบ homemade พนักงานบริการดีมากๆ ราคากลางๆ บรรยากาศดี หาที่จอดรถยากหน่อย,POS,POS,POS,NEU
79,October : Japanese Home Cooking,ร้านอาหารเล็กๆ แต่รสชาติไม่เล็กนะครับ ข้าวผัดมันเนื้อกับเสต็กเนื้อวากิวออส รสชาติดีมาก ข้าวผัดหอมอร่อยเนื้อวากิวออสนุ่มละมุน มันฝรั่งทอดก้ออร่อย พุดดิ้งเนื้อแน่น รสชาติเข้มข้น ใครมาเที่ยวเชียงใหม่แนะนำให้มาลองชิมร้านนี้ได้เลยครับ,POS,N/A,N/A,N/A
80,October : Japanese Home Cooking,"วันนี้มา เนื้อย่างหมด เครื่องชงกาแฟเสีย สั่ง Volcano Roast Beef มากิน รสชาติอร่อยเลย เนื้อวัวดี portion เล็ก เหมาะกับสั่งหลายอย่างมากิน

พนักงานบริการไม่ค่อยดี พูดจาไม่ค่อยรับแขก ไม่แนะนำหรือตอบคำถาม อาจจะเหนื่อยเพราะมากินตอนบ่ายสองกว่า แต่ก็เอ้ออออ พลังงานลบออกมาจากพนักงานเยอะเกิน",POS,NEG,N/A,N/A
81,October : Japanese Home Cooking,อร่อยมากก ก ไก่ล้านตัว✨ พนักงานบริการดีมาก แอบกระซิบหน่อยว่าน้ำที่นี้ฟรี แบบพนักงานมาเติมให้ตลอด ประทับใจ🤩 ส่วนตัวยังไม่ได้ลองเมนูเนื้อที่หลายๆคนบอกอร่อย ไว้ไปลองอีกแน่นอนฮะ,POS,POS,N/A,N/A
82,October : Japanese Home Cooking,ร้านเล็กๆ แต่เมนู homemade จริงๆ และอร่อยมากด้วย เนื้อนุ่มมาก และตัวซอสสดชื่นมากๆ,POS,N/A,N/A,N/A
