Restaurant_Name,number_review,URL
Accha Authentic Indian Cuisine.,333,https://www.tripadvisor.com/Restaurant_Review-g293917-d6975913-Reviews-Accha_Authentic_Indian_Cuisine-Chiang_Mai.html
Anchan Vegetarian Restaurant,619,https://www.tripadvisor.com/Restaurant_Review-g293917-d3602277-Reviews-Anchan_Vegetarian_Restaurant-Chiang_Mai.html
Beast Burger and Pizza (Chiang Mai),335,https://www.tripadvisor.com/Restaurant_Review-g293917-d7290687-Reviews-Beast_Burger-Chiang_Mai.html
Beer Lab,195,https://www.tripadvisor.com/Restaurant_Review-g293917-d8429258-Reviews-Beer_Lab-Chiang_Mai.html
Blackitch Artisan Kitchen (Reservation Only),75,https://www.tripadvisor.com/Restaurant_Review-g293917-d6765613-Reviews-Blackitch_Artisan_Kitchen-Chiang_Mai.html
Chai'n'Thai @ Nimman,52,https://www.tripadvisor.com/Restaurant_Review-g293917-d23766487-Reviews-Chai_N_Thai-Chiang_Mai.html
Ginger Farm Kitchen,174,https://th.tripadvisor.com/Restaurant_Review-g293917-d13509502-Reviews-Ginger_Farm_Kitchen-Chiang_Mai.html
Hong Tauw Inn,230,https://www.tripadvisor.com/Restaurant_Review-g293917-d1129451-Reviews-Hong_Tauw_Inn-Chiang_Mai.html
Jarid Thai Food,451,https://th.tripadvisor.com/Restaurant_Review-g293917-d9593331-Reviews-Jarid_Thai_Food_Fine_Wines-Chiang_Mai.html
Lumi - Italian Restaurant,"2,281",https://th.tripadvisor.com/Restaurant_Review-g293917-d8347816-Reviews-Lumi_Restaurant_Arise_Rooftop_Bar-Chiang_Mai.html
Mix Beef Club & Restaurant,334,https://th.tripadvisor.com/Restaurant_Review-g293917-d2016592-Reviews-Mix_Restaurant_Bar_Chiang_Mai-Chiang_Mai.html
Nara Thai Cuisine Chiang Mai,34,https://th.tripadvisor.com/Restaurant_Review-g293917-d26628130-Reviews-Nara_Thai_Cuisine_One_Nimman-Chiang_Mai.html
Pizza my Heart @ nimman,366,https://th.tripadvisor.com/Restaurant_Review-g11879466-d19492685-Reviews-Pizza_My_Heart_At_Nimman-Su_Thep_Chiang_Mai.html
Rock Me Burger & Bar Nimman Branch,952,https://th.tripadvisor.com/Restaurant_Review-g293917-d6617706-Reviews-Rock_Me_Burgers_Bar-Chiang_Mai.html
Rogu Roti at Nimman Soi 3,259,https://www.tripadvisor.com/Restaurant_Review-g293917-d4571910-Reviews-Guu_Fusion_Roti_Tea-Chiang_Mai.html
Shishitei เชียงใหม่,51,https://th.tripadvisor.com/Restaurant_Review-g293917-d27136043-Reviews-Shishitei_Chiangmai-Chiang_Mai.html
Smoothie Blues,259,https://www.tripadvisor.com/Restaurant_Review-g293917-d1129896-Reviews-Smoothie_Blues-Chiang_Mai.html
Sushi Umai Nimman ซูชิ อูมัย นิมมาน,187,https://th.tripadvisor.com/Restaurant_Review-g293917-d6017663-Reviews-Sushi_umai-Chiang_Mai.html
Uchi Japanese Gastro Chiang Mai,195,https://th.tripadvisor.com/Restaurant_Review-g293917-d19797060-Reviews-Uchi_Japanese_Gastrobar-Chiang_Mai.html
Why Not?,498,https://th.tripadvisor.com/Restaurant_Review-g293917-d3176076-Reviews-Why_Not_Italian_Restaurant_Wine_Bar-Chiang_Mai.html
ก๋วยเตี๋ยวเรือ อองตอง,32,https://www.tripadvisor.com/Restaurant_Review-g293917-d8442451-Reviews-Ongtong_noodle-Chiang_Mai.html
ไก่ย่างเชิงดอย,199,https://th.tripadvisor.com/Restaurant_Review-g11879466-d1828718-Reviews-Cherng_Doi_Grilled_Chicken-Su_Thep_Chiang_Mai.html
ข้าวซอยนิมมาน,250,https://th.tripadvisor.com/Restaurant_Review-g293917-d3741277-Reviews-Kao_Soy_Nimman-Chiang_Mai.html
คุณหมอคูซีน,145,https://th.tripadvisor.com/Restaurant_Review-g293917-d3176964-Reviews-Khun_Mor_Cuisine-Chiang_Mai.html
โค บี คิว,255,https://th.tripadvisor.com/Restaurant_Review-g11879466-d12444872-Reviews-KOBQ_Korean_Barbecue_Restaurant-Su_Thep_Chiang_Mai.html
เซียะ ก๋วยเตี๋ยวปลา,62,https://th.tripadvisor.com/Restaurant_Review-g293917-d5581162-Reviews-Sia_Fish_Noodle-Chiang_Mai.html
เดอะ สลัด คอนเซ็ปท์,859,https://th.tripadvisor.com/Restaurant_Review-g293917-d1977921-Reviews-The_Salad_Concept-Chiang_Mai.html
