Restaurant_Name,Topic,Rating_Overall,Detail,Date_Written
Accha Authentic Indian Cuisine.,No Title,,"Accha Authentic Indian Cuisine: A Taste of 'Proper' UK Indian in Chiang Rai My wife and I decided to treat ourselves to a takeaway from Accha Authentic Indian Cuisine in Chiang Rai recently, and frankly, our only regret is that we didn't order more! From the moment we placed our order to the second we tucked in, the experience was brilliant. I opted for the Chicken Tikka Madras, which delivered the perfect balance of heat and flavor—rich, deep, and satisfyingly spicy. My wife went for the classic Korma, which was creamy, fragrant, and perfectly balanced, a genuinely comforting dish. The portions were decent, providing good value for the good price we paid. But the real standout point? The taste. If you're a British expat, or just someone who understands that the Indian food perfected in the UK is truly the gold standard (wink, wink), Accha hits the mark precisely. It was exactly like the delicious, high-quality Indian takeaway you'd get back home. Accha is a definite must-try in Chiang Rai. Next time, we're doubling our order! Verdict: Delicious, authentic, and great value. Highly recommended. Read less","October 10, 2025"
Accha Authentic Indian Cuisine.,No Title,,"Not recommended the restaurant is not ""vegetarian friendly"" as it advertises in the website they added chicken to a vegetarian dish we would not recommend this to veg people","December 30, 2024"
Accha Authentic Indian Cuisine.,No Title,,The restaurant made a “mistake” by adding chicken to a veg paneer dish which one of our veg friends ate and the owner had the audacity not to show up with a bad attitude and tried to cover up for the staff which is not a bad thing buttt his attitude was very bad of his,"December 30, 2024"
Accha Authentic Indian Cuisine.,No Title,,The paneer Tikka had chicken in it we seperated ourselves a non veg side and a veg side we are very mad that they served us chicken in a paneer dish where one of our religious friends is veg and she ate a piece of the chicken. I wouldn't recommend this place fot you if your a veg.,"December 30, 2024"
Accha Authentic Indian Cuisine.,No Title,,The place I love to be there with my family. Best Indian food in town. Owner is very kind and generous. Will come back again soon.,"November 22, 2024"
Accha Authentic Indian Cuisine.,No Title,,"The food here is Accha ( Good ). Very nice. There are lots of vegan and vegetarian options. I highly recommend all the chutneys ( Green Chutney, Mango chutney, Tamarind Chutney, Mango pickle, Schezwan Chutney ans Sirke waale pyaaz ( Pickled Onion ) ). Reccomended dishes are Hara bhera kebab, Butter Roti, Chili Paneer, Samosa and Mix Veg curry. But the Channa Masala and Gulab Jamun were not too good. The taste of the other things were authentic.","July 26, 2024"
Accha Authentic Indian Cuisine.,No Title,,Visited this restaurant during April 24 with group of friends. Food - 5/5 Service - 4/5 Very glad to get authentic tasty Indian food in a place like Chiang Mai.,"May 2, 2024"
Accha Authentic Indian Cuisine.,No Title,,"Really delicious Indian curries - we had the lamb Rogan Josh, chicken madras and chicken biryani. The garlic nann was also excellent. Was pricier than local Thai food but a nice change and beautifully cooked. Recommended.","March 28, 2024"
Accha Authentic Indian Cuisine.,No Title,,Good Indian food at Phuket with good prices too...although it also serves non- veg. food. Good choice....one can keep visiting again n again,"February 20, 2024"
Accha Authentic Indian Cuisine.,No Title,,"Our 3rd visit here and accha deserves a review, great food and service in a convenient location we will visit again when in town next","January 4, 2024"
Accha Authentic Indian Cuisine.,No Title,,having traveled ther world on business I've often relied on Indian food as a constant in my life -- palak panner is palak panner no matter what country its served in. Out of all The Indian restaurants in 50 countries ive been too this is #2 -- IT would BE #1 IF I hadnt worked at Taj West End in Bangalore! The extensive menu was great and creative presentations are worth going out of your way for if you love Indian food. YOu cant get much better,"November 25, 2023"
Accha Authentic Indian Cuisine.,No Title,,"Wow! We chose here after walking past and also seeing the reviews. The food was excellent, service brilliant and great value for money. Portions are big so be mindful of that, we felt guilty we had to leave things. The food was so tasty, cooked fresh. Would definitely recommend!","July 31, 2023"
Accha Authentic Indian Cuisine.,No Title,,"Very good authentic indian food, good quality and taste. The restaurant is in a good location and decent decor too. If you want indian food in Chiang Mai, you will not regret.","June 5, 2023"
Accha Authentic Indian Cuisine.,No Title,,We had a fabulous meal. Even dish was spectacular and the condiments were all a special treat. We also loved the nan. The palak paneer was our favorite dish. We enjoyed the succulent tandoori chicken too. It was a total feast. Will return again and again.,"March 1, 2023"
Accha Authentic Indian Cuisine.,No Title,,"One of the best restaurants in Chiang Mai , halal , nice staff and very nice place and great location thanks for the service","February 15, 2023"
Accha Authentic Indian Cuisine.,No Title,,"Overall a good dining experience in a pleasant setting, with good service. The chicken was plump and moist, and the sauce full of flavour, couldn’t fault any of the food, my only criticism is that they brought the starters and main courses at the same time. It’s a bit more expensive than other Indian restaurants in the city, but offers a different selection.","February 3, 2023"
